State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
Alabama,Autauga County,0,2894,1085,0,10,0.35,1,1,0,0,0,1,22.7,60900,1,1,0,0,0,1,0,0,2894,100.00,1119,38.67,750,25.92,347,11.99,2223,76.81,603,20.84,3,0.10,0,0.00,18,0.62,47,1.62,39,1.35,9,0.80,155,14.31,977,750,347,2223,603,3,0,18,47,39,9,146
Alabama,Autauga County,0,3320,1306,0,33,0.99,1,1,0,1,1,1,24.1,49833,1,1,0,0,0,1,0,1,3320,100.00,1718,51.75,750,22.59,493,14.85,1441,43.40,1810,54.52,2,0.06,0,0.00,14,0.42,53,1.60,39,1.17,271,20.72,227,17.36,1463,750,493,1441,1810,2,0,14,53,39,269,230
Alabama,Baldwin County,0,3804,1510,0,31,0.81,1,1,0,0,0,1,10.2,56464,1,1,0,0,0,1,0,0,3804,100.00,1353,35.56,917,24.11,605,15.90,2865,75.32,826,21.71,6,0.16,0,0.00,64,1.68,43,1.13,16,0.42,85,5.62,122,8.09,1496,917,605,2865,826,6,0,64,43,16,84,126
Alabama,Baldwin County,0,2902,1111,0,6,0.21,0,0,0,0,0,1,20.2,44954,0,0,0,0,0,0,0,0,2902,100.00,1556,53.61,755,26.02,378,13.03,2469,85.08,281,9.68,11,0.38,0,0.00,73,2.52,68,2.34,46,1.59,99,8.90,142,12.81,1715,755,378,2469,281,11,0,73,68,46,91,146
Alabama,Baldwin County,0,7826,2727,0,521,6.66,0,0,0,0,1,0,6.4,81799,0,0,0,0,0,0,0,1,7804,99.72,2328,29.75,1816,23.21,1108,14.15,6070,77.56,1436,18.35,34,0.43,1,0.01,75,0.96,188,2.40,128,1.63,169,6.21,150,5.50,2492,1820,1111,6091,1437,34,1,75,188,128,181,165
Alabama,Baldwin County,0,4736,1740,0,0,0.00,0,0,0,0,0,0,12.3,58359,0,0,0,0,0,0,0,0,4736,100.00,1347,28.44,1182,24.96,610,12.88,4339,91.62,252,5.32,11,0.23,0,0.00,35,0.74,99,2.09,71,1.50,17,1.00,120,6.87,1347,1182,610,4339,252,11,0,35,99,71,19,120
Alabama,Baldwin County,1,4815,1798,0,559,11.61,0,0,0,0,0,0,14.3,69951,1,1,1,1,1,0,0,0,3493,72.55,1054,21.88,781,16.22,659,13.68,2951,61.28,380,7.89,38,0.78,1,0.02,51,1.06,73,1.52,52,1.08,76,4.23,190,10.56,1516,1009,829,3922,669,60,1,60,103,76,133,245
Alabama,Baldwin County,1,3325,1186,0,14,0.42,1,1,1,0,0,1,27.7,50536,1,1,1,1,1,0,0,0,2697,81.11,1602,48.18,807,24.27,264,7.94,1112,33.44,1464,44.04,3,0.09,0,0.00,24,0.71,94,2.83,76,2.30,82,6.93,261,21.99,2174,1028,305,1323,1851,3,0,30,118,92,96,292
Alabama,Baldwin County,1,7882,3054,0,7,0.09,0,0,0,0,0,0,4.8,112717,1,1,1,1,1,0,0,0,6203,78.70,856,10.86,1668,21.17,796,10.10,5827,73.93,191,2.42,76,0.97,14,0.18,24,0.30,71,0.91,126,1.59,65,2.12,34,1.10,1199,1989,1347,7426,222,99,14,32,89,160,133,48
Alabama,Baldwin County,0,13166,4878,0,3,0.02,0,0,0,0,0,0,2.1,102153,0,0,0,0,0,0,0,0,12603,95.73,808,6.14,3613,27.44,1201,9.12,11070,84.08,1056,8.02,191,1.45,2,0.01,43,0.33,242,1.84,328,2.49,42,0.87,186,3.81,1257,3729,1279,11582,1071,206,2,47,258,343,62,277
Alabama,Baldwin County,1,5055,1967,0,0,0.00,0,0,0,0,0,0,13.4,80678,1,1,1,1,1,0,0,0,5031,99.53,1651,32.66,1166,23.07,658,13.03,4511,89.24,331,6.55,57,1.13,0,0.00,22,0.44,110,2.18,155,3.07,42,2.13,84,4.26,2045,1174,661,4531,331,58,0,22,113,155,36,80
Alabama,Baldwin County,1,8331,3689,0,61,0.73,0,0,0,0,0,0,14.2,76343,1,1,1,1,1,0,0,0,7146,85.77,2111,25.33,1677,20.13,959,11.51,6003,72.06,786,9.43,118,1.42,8,0.09,47,0.57,184,2.21,246,2.95,91,2.48,98,2.66,2680,1886,1098,6867,1028,156,10,50,220,280,121,128
Alabama,Baldwin County,1,6861,2770,0,192,2.80,0,0,0,0,0,0,8.3,92714,1,1,1,1,1,0,0,0,5356,78.07,1721,25.09,1200,17.49,982,14.32,3774,55.01,1466,21.36,42,0.61,3,0.04,13,0.18,59,0.86,85,1.24,95,3.41,92,3.33,2258,1480,1316,5050,1639,65,3,16,88,109,118,112
Alabama,Baldwin County,0,5173,1799,0,516,9.97,0,0,0,0,1,0,12.5,63116,0,0,0,0,0,0,0,1,4483,86.66,1369,26.47,954,18.44,457,8.83,3415,66.01,909,17.57,10,0.19,1,0.02,33,0.63,116,2.25,110,2.13,106,5.90,145,8.05,1406,1116,563,4000,950,16,2,37,168,159,132,171
Alabama,Baldwin County,0,6831,2564,0,49,0.72,0,0,0,0,0,0,17.0,65515,0,0,0,0,0,0,0,0,6650,97.36,2031,29.73,1574,23.05,927,13.58,6192,90.64,133,1.95,22,0.33,4,0.06,99,1.44,201,2.94,186,2.72,33,1.27,242,9.43,1843,1616,954,6361,141,23,4,100,202,187,30,224
Alabama,Baldwin County,0,8011,3000,0,11,0.14,0,0,0,0,1,0,16.0,58296,0,0,0,0,0,0,0,1,6995,87.32,2121,26.47,1915,23.90,814,10.16,6146,76.72,364,4.55,33,0.41,1,0.01,40,0.50,411,5.13,520,6.49,144,4.79,295,9.85,2694,2224,938,6896,426,36,1,50,602,718,179,380
Alabama,Baldwin County,1,4302,1597,0,126,2.93,1,1,1,0,0,1,15.5,51630,1,1,1,1,1,0,0,0,4100,95.30,1441,33.50,1022,23.76,644,14.97,3721,86.50,188,4.37,17,0.39,1,0.02,24,0.55,149,3.46,214,4.96,26,1.63,185,11.62,1925,1075,678,3914,193,17,1,26,151,221,29,212
Alabama,Baldwin County,0,4305,1664,0,15,0.35,0,0,0,1,1,1,21.7,48244,0,0,0,0,0,0,0,1,4295,99.76,1931,44.85,1038,24.12,671,15.59,3647,84.72,279,6.47,6,0.14,3,0.07,47,1.09,313,7.27,356,8.26,131,7.84,125,7.50,2047,1040,673,3656,279,6,3,47,314,356,120,115
Alabama,Baldwin County,1,8397,3423,0,13,0.15,0,0,0,0,0,0,5.5,89861,1,1,1,1,1,0,0,0,6588,78.46,959,11.43,1627,19.38,1339,15.95,6083,72.44,275,3.27,41,0.49,4,0.05,8,0.10,177,2.11,255,3.03,97,2.83,130,3.81,1576,2131,1689,7655,441,61,5,19,216,326,145,190
Alabama,Baldwin County,0,3715,1389,0,0,0.00,0,0,0,0,0,0,7.2,77321,0,0,0,0,0,0,0,0,3715,100.00,894,24.06,998,26.86,501,13.49,3405,91.66,156,4.20,17,0.46,1,0.03,19,0.51,117,3.15,154,4.15,27,1.95,88,6.37,1062,998,501,3405,156,17,1,19,117,154,32,104
Alabama,Baldwin County,1,4230,1984,0,17,0.40,0,0,0,0,0,0,15.9,83102,0,1,0,1,0,0,0,0,2655,62.78,733,17.33,616,14.56,547,12.94,2529,59.79,77,1.82,15,0.36,1,0.02,2,0.04,31,0.74,67,1.59,20,1.03,87,4.36,1338,859,1111,4041,111,30,1,2,45,95,84,148
Alabama,Baldwin County,1,5065,2282,0,0,0.00,0,0,0,0,0,0,5.5,79063,1,1,1,1,1,0,0,0,3646,71.99,1341,26.48,729,14.39,793,15.65,2574,50.82,997,19.69,19,0.38,0,0.00,7,0.14,49,0.96,64,1.27,47,2.05,84,3.70,1996,1023,1078,3815,1146,21,1,9,73,99,105,114
Alabama,Baldwin County,0,4487,1842,0,0,0.00,0,0,0,0,0,0,4.3,95863,0,0,0,0,0,0,0,0,4487,100.00,893,19.90,958,21.35,913,20.35,4193,93.45,182,4.06,8,0.18,0,0.00,11,0.25,93,2.07,110,2.45,90,4.87,68,3.67,1003,958,913,4193,182,8,0,11,93,110,99,68
Alabama,Baldwin County,0,10632,4159,0,0,0.00,0,0,0,0,0,0,11.4,64722,0,0,0,0,0,0,0,0,10632,100.00,3581,33.68,2475,23.28,1737,16.34,8995,84.60,956,8.99,42,0.40,5,0.05,82,0.77,552,5.19,775,7.29,28,0.67,353,8.49,3769,2475,1737,8995,956,42,5,82,552,775,29,347
Alabama,Baldwin County,0,9131,4030,0,0,0.00,0,0,0,0,0,0,7.9,61375,0,0,0,0,0,0,0,0,8645,94.68,2595,28.43,1712,18.75,1387,15.19,7786,85.27,186,2.03,54,0.59,9,0.10,44,0.48,567,6.21,939,10.28,19,0.48,414,10.26,3084,1798,1487,8243,197,57,9,46,579,960,31,546
Alabama,Baldwin County,1,3832,1795,0,0,0.00,0,0,0,0,0,0,6.7,105806,1,1,1,1,1,0,0,0,3828,99.91,705,18.40,603,15.73,937,24.46,3713,96.91,5,0.13,28,0.73,0,0.00,25,0.65,57,1.49,49,1.28,15,0.86,53,2.97,853,603,939,3717,5,28,0,25,57,49,17,59
Alabama,Baldwin County,0,3412,1484,0,0,0.00,0,0,0,0,0,0,5.6,76136,0,0,0,0,0,0,0,0,3146,92.22,566,16.59,698,20.46,332,9.74,2902,85.04,23,0.68,32,0.95,11,0.32,21,0.63,157,4.60,185,5.41,46,3.09,96,6.47,561,743,392,3140,25,36,12,23,176,195,48,102
Alabama,Baldwin County,1,4799,2161,0,4,0.08,0,0,0,0,0,0,16.2,70230,1,1,1,1,1,0,0,0,4063,84.67,1368,28.50,721,15.01,899,18.74,3822,79.65,49,1.01,33,0.69,1,0.02,20,0.42,138,2.88,44,0.92,59,2.72,58,2.67,1515,857,1040,4525,56,36,1,26,155,57,91,78
Alabama,Baldwin County,0,433,216,0,0,0.00,0,0,0,0,0,0,13.4,101563,0,0,0,0,0,0,0,0,427,98.66,60,13.84,43,9.94,131,30.18,412,95.22,1,0.23,0,0.00,0,0.00,7,1.60,7,1.61,3,0.69,2,1.15,0,0.00,87,44,132,418,1,0,0,7,7,3,3,0
Alabama,Baldwin County,1,5316,2219,0,126,2.37,0,0,0,0,0,0,14.2,58843,1,1,1,1,1,0,0,0,5316,100.00,1647,30.98,1033,19.43,1321,24.85,4559,85.76,365,6.87,40,0.75,2,0.04,38,0.71,312,5.87,407,7.66,53,2.40,256,11.53,1727,1033,1321,4559,365,40,2,38,312,407,56,296
Alabama,Baldwin County,1,10534,4330,0,0,0.00,1,1,1,1,1,1,11.6,57120,1,1,1,1,1,0,0,1,9213,87.46,4111,39.02,2056,19.52,1670,15.85,7112,67.52,1169,11.10,99,0.94,8,0.07,66,0.62,759,7.21,1223,11.61,189,4.37,538,12.43,5468,2412,1882,7818,1693,113,8,74,828,1314,226,710
Alabama,Baldwin County,0,6062,2410,0,36,0.59,0,0,0,0,0,0,18.1,64688,0,0,0,0,0,0,0,0,6062,100.00,1897,31.29,1374,22.67,1049,17.30,5699,94.01,58,0.96,35,0.58,1,0.02,44,0.73,225,3.71,233,3.84,80,3.33,261,10.83,2034,1374,1049,5699,58,35,1,44,225,233,74,248
Alabama,Baldwin County,0,4895,2402,0,0,0.00,0,0,0,1,1,1,7.1,53476,0,0,0,0,0,0,0,1,4895,100.00,1487,30.37,550,11.24,1952,39.88,4638,94.75,117,2.39,17,0.35,1,0.02,27,0.55,95,1.94,98,2.00,103,4.28,75,3.12,1676,550,1952,4638,117,17,1,27,95,98,101,75
Alabama,Barbour County,0,3321,1348,0,0,0.00,1,1,0,1,1,1,31.2,63398,1,1,0,0,0,1,0,1,3296,99.26,1697,51.09,768,23.13,484,14.57,1549,46.64,1580,47.57,12,0.36,1,0.03,55,1.66,100,3.00,144,4.33,163,12.13,327,24.27,1539,773,489,1554,1598,12,1,55,101,144,134,270
Alabama,Barbour County,0,4264,1053,0,1724,40.43,0,0,0,1,1,1,33.2,47833,0,0,0,0,0,0,0,1,4113,96.46,1952,45.78,600,14.07,389,9.13,1427,33.47,2657,62.31,5,0.12,0,0.00,7,0.16,17,0.40,32,0.75,107,10.16,301,28.61,1262,658,408,1471,2763,5,0,7,18,32,103,289
Alabama,Barbour County,0,1638,673,0,0,0.00,1,1,0,0,0,1,34.4,42736,1,1,0,0,0,1,0,0,1638,100.00,857,52.34,342,20.88,321,19.60,718,43.83,864,52.75,0,0.00,0,0.00,4,0.24,52,3.17,67,4.09,60,8.91,152,22.59,889,342,321,718,864,0,0,4,52,67,57,138
Alabama,Barbour County,0,4303,1188,0,1320,30.68,1,1,0,1,1,1,26.7,36164,1,1,0,0,0,1,0,1,4303,100.00,2319,53.89,658,15.29,485,11.27,2046,47.55,1732,40.25,9,0.21,8,0.19,10,0.23,498,11.57,566,13.15,183,15.42,327,27.54,1395,658,485,2046,1732,9,8,10,498,566,172,298
Alabama,Barbour County,0,3467,1399,0,0,0.00,0,0,0,0,0,0,14.6,54896,0,0,0,0,0,0,0,0,3467,100.00,1453,41.90,750,21.63,611,17.62,2487,71.73,752,21.69,28,0.81,0,0.00,23,0.66,177,5.11,172,4.96,19,1.35,288,20.59,1663,750,611,2487,752,28,0,23,177,172,18,288
Alabama,Barbour County,0,2099,828,0,0,0.00,0,0,0,0,0,1,30.4,31083,0,0,0,0,0,0,0,0,1629,77.60,905,43.09,433,20.63,187,8.92,1059,50.45,532,25.34,9,0.43,0,0.00,3,0.14,26,1.24,30,1.41,18,2.22,219,26.49,1104,563,254,1148,893,11,0,4,43,46,42,264
Alabama,Barbour County,0,1727,646,0,149,8.63,0,0,0,0,0,1,30.1,35625,0,0,0,0,0,0,0,0,1396,80.85,706,40.89,325,18.82,303,17.53,633,36.66,742,42.97,1,0.06,0,0.00,3,0.17,17,0.99,22,1.29,82,12.64,129,19.91,811,393,368,764,922,1,0,3,37,43,106,157
Alabama,Barbour County,1,2055,901,0,0,0.00,1,1,1,0,0,1,26.3,55306,1,1,1,1,1,0,0,0,1172,57.01,459,22.36,260,12.66,214,10.43,542,26.38,603,29.35,6,0.28,0,0.00,3,0.14,18,0.86,24,1.17,18,1.97,80,8.83,906,468,399,1150,832,30,0,7,36,57,38,170
Alabama,Barbour County,1,4583,1784,0,0,0.00,0,1,0,0,0,1,36.9,36091,0,1,0,1,0,0,0,0,2748,59.97,1553,33.88,807,17.60,354,7.72,1368,29.86,1213,26.46,4,0.09,20,0.43,1,0.02,142,3.10,215,4.69,92,5.17,413,23.16,2504,1410,574,1842,2519,11,20,1,190,260,179,642
Alabama,Bibb County,0,2732,997,0,26,0.95,0,0,0,0,1,0,4.2,61897,0,0,0,0,0,0,0,1,2732,100.00,1036,37.90,706,25.84,362,13.25,2410,88.21,276,10.10,1,0.04,0,0.00,7,0.26,38,1.39,76,2.78,134,13.45,94,9.40,871,706,362,2410,276,1,0,7,38,76,87,78
Alabama,Bibb County,0,6025,2200,0,44,0.73,0,0,0,0,0,0,19.9,62143,0,0,0,0,0,0,0,0,5676,94.21,2211,36.70,1500,24.89,608,10.10,5252,87.18,318,5.28,5,0.08,0,0.00,11,0.18,90,1.49,71,1.18,68,3.07,207,9.42,2192,1600,641,5594,322,5,0,11,93,76,56,198
Alabama,Bibb County,0,5391,2085,0,0,0.00,0,0,0,0,0,0,8.9,75625,0,0,0,0,0,0,0,0,5391,100.00,1254,23.26,1225,22.72,804,14.91,4407,81.75,816,15.14,6,0.11,0,0.00,33,0.61,129,2.39,84,1.56,44,2.12,170,8.17,1079,1225,804,4407,816,6,0,33,129,84,34,140
Alabama,Bibb County,0,8767,2671,0,2154,24.57,0,0,0,1,1,1,15.7,42917,0,0,0,0,0,0,0,1,7190,82.01,3848,43.90,1393,15.88,856,9.76,4093,46.69,2951,33.66,10,0.11,13,0.15,9,0.11,114,1.30,148,1.69,195,7.29,401,15.00,3826,1670,1099,4970,3633,10,13,13,128,170,233,433
Alabama,Blount County,0,7858,2865,0,129,1.64,0,0,0,0,0,1,14.9,52473,0,0,0,0,0,0,0,0,7848,99.87,2963,37.71,1964,24.99,1072,13.64,6786,86.36,257,3.27,17,0.22,0,0.00,55,0.70,732,9.31,1321,16.82,73,2.55,257,8.97,2863,1966,1073,6792,257,19,0,55,735,1325,72,249
Alabama,Blount County,1,7050,2748,0,276,3.91,0,0,0,0,1,0,15.3,67554,1,1,1,1,1,0,0,1,5432,77.04,2039,28.92,1213,17.20,1015,14.40,4754,67.43,135,1.92,20,0.28,5,0.07,8,0.11,510,7.24,700,9.93,119,4.33,225,8.20,2634,1554,1495,6170,178,25,5,16,656,941,154,284
Alabama,Blount County,0,3789,1377,0,10,0.26,0,0,0,0,0,0,13.9,63828,0,0,0,0,0,0,0,0,3486,91.99,1339,35.35,897,23.68,482,12.72,3105,81.94,18,0.47,5,0.14,0,0.00,14,0.37,344,9.07,593,15.65,25,1.79,96,6.99,1438,976,515,3360,20,8,0,14,387,673,31,105
Alabama,Blount County,0,5269,2031,0,0,0.00,0,0,0,1,1,1,28.3,49444,0,0,0,0,0,0,0,1,5093,96.65,2252,42.74,1331,25.27,764,14.51,4620,87.68,20,0.38,7,0.13,9,0.17,53,1.00,384,7.29,473,8.98,150,7.38,295,14.55,2153,1362,829,4794,20,7,9,54,385,479,160,293
Alabama,Blount County,0,4451,1740,0,0,0.00,0,0,0,0,1,0,14.8,57986,0,0,0,0,0,0,0,1,4445,99.87,1634,36.72,1077,24.20,657,14.76,4247,95.42,13,0.29,8,0.18,0,0.00,17,0.38,160,3.59,218,4.90,104,5.98,147,8.43,1523,1077,659,4253,13,8,0,17,160,218,98,137
Alabama,Blount County,0,7329,2766,0,23,0.31,0,0,0,0,0,0,18.4,55551,0,0,0,0,0,0,0,0,7176,97.92,2862,39.06,1854,25.30,977,13.33,6723,91.73,34,0.46,15,0.20,21,0.29,44,0.60,340,4.64,607,8.28,92,3.32,264,9.53,3085,1892,1006,6851,34,16,21,44,363,631,83,241
Alabama,Blount County,0,3922,1421,0,38,0.97,0,0,0,0,0,0,7.4,70690,0,0,0,0,0,0,0,0,3922,100.00,1200,30.61,994,25.34,542,13.82,3848,98.11,9,0.23,0,0.00,0,0.00,9,0.23,56,1.43,29,0.74,38,2.66,115,8.07,1251,994,542,3848,9,0,0,9,56,29,36,106
Alabama,Blount County,0,8923,3329,0,13,0.15,0,0,0,0,0,0,5.5,73045,0,0,0,0,0,0,0,0,8923,100.00,1821,20.40,2242,25.13,1090,12.22,8558,95.91,161,1.80,18,0.20,2,0.02,50,0.56,134,1.50,96,1.08,45,1.36,270,8.10,1908,2242,1090,8558,161,18,2,50,134,96,45,266
Alabama,Blount County,0,8731,3301,0,0,0.00,0,0,0,1,1,1,15.2,53368,0,0,0,0,0,0,0,1,8608,98.59,3696,42.33,2011,23.03,1211,13.87,8327,95.37,69,0.79,16,0.18,1,0.01,46,0.53,149,1.71,225,2.57,176,5.34,293,8.87,3940,2043,1230,8442,69,16,1,48,155,234,177,285
Alabama,Bullock County,0,1434,612,0,0,0.00,1,1,0,0,0,1,43.0,27120,1,1,0,0,0,1,0,0,1434,100.00,1013,70.64,340,23.71,222,15.48,132,9.21,1289,89.89,0,0.00,0,0.00,4,0.28,9,0.63,12,0.84,63,10.22,207,33.90,1172,340,222,132,1289,0,0,4,9,12,66,219
Alabama,Bullock County,1,7102,2117,0,1690,23.80,1,1,1,1,1,1,40.4,33074,1,1,1,1,1,0,0,1,6256,88.08,2942,41.43,1376,19.38,654,9.21,1105,15.55,4591,64.65,7,0.10,43,0.61,7,0.11,502,7.07,613,8.62,324,15.31,582,27.47,2717,1563,818,1351,5095,19,43,11,583,725,314,625
Alabama,Bullock County,0,2378,1016,0,0,0.00,0,0,0,0,0,0,8.6,58380,1,1,0,0,0,1,0,0,2378,100.00,721,30.33,527,22.16,429,18.04,1024,43.06,1282,53.91,1,0.04,0,0.00,8,0.34,63,2.65,40,1.68,46,4.58,90,8.91,878,527,429,1024,1282,1,0,8,63,40,43,92
Alabama,Butler County,0,2439,1019,0,113,4.63,0,0,0,0,0,1,21.9,66515,0,0,0,0,0,0,0,0,1840,75.43,758,31.08,442,18.10,269,11.01,990,40.59,810,33.21,21,0.85,0,0.00,7,0.29,12,0.48,14,0.58,73,7.13,132,12.99,782,571,436,1316,1065,36,0,7,15,17,69,122
Alabama,Butler County,0,2180,847,0,0,0.00,0,0,0,1,1,1,28.2,53017,0,0,0,0,0,0,0,1,2067,94.80,966,44.31,553,25.36,268,12.29,855,39.22,1150,52.76,42,1.93,0,0.00,4,0.18,15,0.71,25,1.13,105,12.36,156,18.43,1078,578,283,899,1212,49,0,4,16,25,87,130
Alabama,Butler County,0,1469,620,0,0,0.00,1,1,0,0,0,1,23.4,50217,1,1,0,0,0,1,0,0,1469,100.00,694,47.26,330,22.46,242,16.47,843,57.39,558,37.99,50,3.40,0,0.00,2,0.14,16,1.09,3,0.20,11,1.83,64,10.28,792,330,242,843,558,50,0,2,16,3,12,56
Alabama,Butler County,1,3023,1153,0,38,1.26,1,1,1,1,1,1,37.3,30378,1,1,1,1,1,0,0,1,2445,80.87,1638,54.19,765,25.32,255,8.45,598,19.77,1817,60.12,5,0.17,5,0.17,1,0.05,18,0.59,29,0.96,111,9.67,249,21.62,2006,918,347,785,2199,10,5,2,22,35,118,254
Alabama,Butler County,0,4327,1738,0,15,0.35,1,1,0,1,1,1,17.2,43456,1,1,0,0,0,1,0,1,4241,98.01,2051,47.40,1036,23.94,688,15.90,2602,60.12,1553,35.88,12,0.28,0,0.00,33,0.76,42,0.96,46,1.06,102,5.86,372,21.39,1663,1066,694,2619,1621,12,0,33,42,46,76,277
Alabama,Butler County,0,1774,729,0,0,0.00,0,0,0,0,0,0,12.5,56635,0,0,0,0,0,0,0,0,1774,100.00,488,27.52,374,21.08,323,18.21,1581,89.12,178,10.03,4,0.23,0,0.00,3,0.17,8,0.45,9,0.51,43,5.90,75,10.35,498,374,323,1581,178,4,0,3,8,9,36,65
Alabama,Butler County,0,2931,1160,0,167,5.70,0,0,0,0,0,1,22.1,37500,0,0,0,0,0,0,0,0,2091,71.35,1048,35.77,455,15.52,390,13.31,1020,34.80,1028,35.09,3,0.11,2,0.07,5,0.17,33,1.12,12,0.41,65,5.57,185,15.92,1463,621,646,1237,1641,4,2,6,41,14,95,195
Alabama,Butler County,0,1410,617,0,0,0.00,0,0,0,0,0,1,24.8,48477,0,0,0,0,0,0,0,0,1410,100.00,769,54.56,265,18.79,255,18.09,1046,74.18,334,23.69,0,0.00,0,0.00,3,0.21,27,1.91,17,1.21,29,4.71,109,17.62,790,265,255,1046,334,0,0,3,27,17,23,86
